"data_d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
273,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,4,-49,-62,-26,13,46.9,34.99,365650,2953,256001,9312,18,173,1630796
292,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,3,-53,-62,-10,10,47.66,35.97,284163,2395,146337,7334,0,43,1390894
264,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,4,-47,-63,-15,9,44.97,34.11,240034,2597,119243,7106,1,89,1157696
256,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-25,6,-43,-58,-24,10,41.92,32.76,397779,3031,279588,9700,72,29,1631114
190,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-23,10,-44,-57,-25,10,42.64,32.77,398160,2928,280344,9351,12,115,1581025
252,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-17,11,-42,-54,-24,9,44.95,34.32,425696,6451,332847,9455,1999,2777,1661457
262,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-16,11,-42,-54,-24,9,48.28,36.05,428955,7344,328090,10008,1664,2216,1648659
271,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-18,11,-44,-56,-23,10,58.62,42.2,436635,8469,345031,10621,3699,3977,1741938
257,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-19,7,-47,-55,-7,7,60.33,44.08,369234,7478,266469,8870,2763,2705,1606636
224,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-16,12,-39,-57,-12,6,53.3,40.21,309182,8340,202470,8978,3628,4337,1309260
