"Date","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C3_Cancel.public.events.1","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","ConfirmedCases","ConfirmedDeaths","Cases_daily","Deaths_daily","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","driving","walking"
2021-07-15,2,1,2,2,4,1,1,1,3,1,372215,3032,9186,98,-19,15,-40,-56,-20,9,38.56,32.32
2021-07-16,2,1,2,2,4,1,1,1,3,1,381907,3099,9692,67,-20,18,-41,-58,-20,10,42.94,34.82
2021-07-17,2,1,2,2,4,1,1,1,3,1,391989,3240,10082,141,-23,15,-49,-58,-2,7,42.96,35.59
2021-07-18,2,1,2,2,4,1,1,1,3,1,403386,3341,11397,101,-23,16,-43,-60,-8,7,40.06,33.1
2021-07-19,2,1,2,2,4,1,1,1,3,1,415170,3422,11784,81,-18,17,-39,-56,-20,8,37.81,31.01
2021-07-20,2,1,2,2,4,1,1,1,3,1,426475,3502,11305,80,-22,15,-40,-58,-24,10,36.56,31.25
2021-07-21,2,1,2,2,4,1,1,1,3,1,439477,3610,13002,108,-23,12,-40,-60,-25,10,37.08,29.79
2021-07-22,2,1,2,2,4,1,1,1,3,1,453132,3697,13655,87,-25,9,-42,-60,-24,11,37.58,30.1
2021-07-23,2,2,2,2,4,1,1,1,3,1,467707,3811,14575,114,-27,14,-46,-62,-24,12,40.7,32.5
2021-07-24,2,2,2,2,4,1,1,1,3,1,481967,3930,14260,119,-33,5,-56,-65,-21,12,38.52,31.61
2021-07-25,2,2,2,2,4,1,1,1,3,2,497302,4059,15335,129,-33,6,-50,-67,-18,11,38.24,31.33
2021-07-26,2,2,2,2,4,1,1,1,3,2,512678,4146,15376,87,-23,12,-42,-65,-43,15,38.87,31.52
2021-07-27,2,2,2,2,4,1,1,1,3,2,526828,4264,14150,118,-23,13,-41,-61,-29,11,39.78,31.69
2021-07-28,2,2,2,2,4,1,1,2,3,2,543361,4397,16533,133,-26,8,-42,-69,-57,19,38.11,30.97
2021-07-29,2,2,2,2,4,1,1,2,3,2,561030,4562,17669,165,-26,8,-44,-61,-24,11,39.03,30.89
2021-07-30,2,2,2,2,4,1,1,2,3,2,578375,4679,17345,117,-28,11,-47,-62,-24,13,41.82,32.9
2021-07-31,2,2,2,2,4,1,1,2,3,2,597287,4857,18912,178,-29,12,-53,-62,-7,9,40.23,32.11
2021-08-01,2,2,2,2,4,1,2,2,3,2,615314,4990,18027,133,-28,15,-47,-63,-13,9,39.17,31.26
2021-08-02,2,2,2,2,4,1,2,2,3,2,633284,5168,17970,178,-23,14,-42,-60,-24,10,37.83,30.23
2021-08-03,2,2,2,2,4,1,2,2,3,2,652185,5315,18901,147,-25,11,-44,-61,-27,11,36.88,30.15
2021-08-04,2,2,2,2,4,1,2,2,3,2,672385,5503,20200,188,-26,8,-43,-61,-27,11,37.52,30.06
2021-08-05,2,2,2,2,4,1,2,2,3,2,693305,5663,20920,160,-28,6,-45,-61,-26,12,37.34,30.58
2021-08-06,2,2,2,2,4,1,2,2,3,2,714684,5854,21379,191,-30,8,-46,-63,-26,13,41.77,33.24
2021-08-07,2,2,2,2,4,1,2,2,3,2,736522,6066,21838,212,-31,6,-52,-62,-9,10,41.31,34.32
2021-08-08,2,2,2,2,4,1,2,2,3,2,756505,6204,19983,138,-32,6,-48,-65,-14,9,39.32,32.11
2021-08-09,2,2,2,2,4,1,2,2,3,2,776108,6353,19603,149,-26,7,-43,-61,-25,10,38.33,31.08
2021-08-10,2,2,2,2,4,1,2,2,3,2,795951,6588,19843,235,-26,9,-42,-60,-27,11,39.03,31.25
2021-08-11,2,2,2,2,4,1,2,2,3,2,816989,6795,21038,207,-28,4,-44,-61,-28,11,40.69,31.39
2021-08-12,2,2,2,2,4,1,2,2,3,2,839771,6942,22782,147,-24,11,-41,-67,-58,18,39.7,31.6
2021-08-13,2,2,2,2,4,1,2,2,3,2,863189,7126,23418,184,-32,2,-48,-64,-28,14,41.85,32.23
2021-08-14,2,2,2,2,4,1,2,2,3,2,885275,7343,22086,217,-34,0,-55,-64,-11,11,40.63,32.22
