"Date","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C3_Cancel.public.events.1","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","ConfirmedCases","ConfirmedDeaths","Cases_daily","Deaths_daily","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","driving","walking","daily_vaccinations","first_dose","second_dose","third_dose","total_doses","vax1","vax2","BKK.bus","Reg.bus","Personal.car","BKK.train","Reg.train","BKK.airport","Reg.airport","infected","death","retail","gro","parks","trans","work","res","dr","wlk","vax_1","vax_2","bus_bkk1","bus_inter_reg","trainbkk","trainreg","bkk_airp","reg_airp","car"
2021-07-05,2,1,2,2,4,1,1,1,3,1,289233,2276,6166,50,-8,25,-32,-48,-15,4,57.14,45.15,280642,8022029,3036361,0,11058390,217375,63267,533059,19907,1863287,417292,15898,5478,5701,-1.01226658111463,-0.974623505462713,1.85328606707632,2.26281064193996,1.82144917901011,1.69030722425915,0.451439114735004,-1.2821263683321,1.10195560643943,1.37275425345683,-0.23132910532033,-0.278849107484158,1.48182523393483,1.23057083046485,1.33928087228723,1.19179920545341,0.883602354696173,0.868643709852695,1.1932648828933
2021-07-06,2,1,2,2,4,1,1,1,3,1,294653,2333,5420,57,-12,20,-36,-51,-17,6,49.81,39.95,269653,8245297,3082746,0,11328043,223268,46385,506670,18975,1766508,393053,13672,4211,4267,-1.1237396872548,-0.892389188292438,1.31948629978161,1.46884199564524,1.11236920664608,1.15722741634562,0.254088682063964,-0.72316119412737,0.362991952009694,0.578647806169077,-0.186820534446479,-0.436179656818956,1.22062202944828,1.12239273349926,1.12116431985529,0.6864871704562,0.495375758228958,0.445975443884314,0.832181431944747
2021-07-07,2,1,2,2,4,1,1,1,3,1,301172,2387,6519,54,-10,21,-35,-50,-17,6,47.35,37.98,291575,8494230,3125388,0,11619618,248933,42642,508473,17828,1748922,393052,13427,5177,5038,-0.95951858316895,-0.927632467079699,1.58638618342896,1.62763572490418,1.28963919973709,1.33492068565013,0.254088682063964,-0.72316119412737,0.114990507276114,0.277803632869678,0.00702173120384918,-0.47106226824889,1.23846845703891,0.989259388843118,1.12115532127645,0.630871065975375,0.791371726806172,0.673225955084887,0.766567883877695
2021-07-08,2,1,2,2,4,1,1,1,3,1,308230,2462,7058,75,-13,20,-37,-51,-16,6,46.7,36.11,356378,8800155,3175841,0,11975996,305925,50453,505692,17507,1747277,377062,13059,4641,4048,-0.878977022566335,-0.680929515568872,1.18603635795793,1.46884199564524,0.935099213555071,1.15722741634562,0.352763898399484,-0.72316119412737,0.0494616702530135,-0.00776926259726202,0.437470139695705,-0.398268231946668,1.21094160449895,0.952000623686516,0.977268045671569,0.547333407000095,0.627133798071817,0.381425687784541,0.760430371847085
2021-07-09,2,1,2,2,4,1,1,1,3,1,317506,2534,9276,72,-18,20,-42,-53,-16,8,49.41,38.27,399908,9130526,3245378,0,12375904,330371,69537,489767,17845,1870522,374458,14451,7712,5958,-0.547546259270231,-0.716172794356133,0.518786648839545,1.46884199564524,0.0487492481000271,0.801840877736599,0.352763898399484,-0.16419601992264,0.322666513841632,0.322090338583804,0.622105558596462,-0.220416306611679,1.05331300805921,0.991232594474465,0.953835746379816,0.863323682254416,1.56813133378675,0.944393880252886,1.22025874279692
2021-07-10,2,1,2,2,4,1,1,1,3,1,326832,2625,9326,91,-21,17,-50,-55,-1,7,46.21,38.27,93284,9213598,3255590,0,12469188,83072,10212,369755,15299,1427038,208929,10180,4658,3802,-0.540074871459228,-0.492965362036813,0.118436823368513,0.992460807868403,-1.36941069662804,0.44645433912758,1.83289214343228,-0.443678607025005,0.0000630084971375393,0.322090338583804,-1.24569099129874,-0.773291252665873,-0.134587972532669,0.695716033450448,-0.53569000994293,-0.106212571776621,0.632342836856302,0.308917742576576,-0.434384652572608
2021-07-11,2,1,2,2,4,1,1,1,3,1,336371,2711,9539,86,-20,19,-45,-57,-7,7,43.24,36.76,100025,9301407,3267806,0,12569213,87809,12216,304172,15756,1158452,162592,8694,5922,5940,-0.508246759384354,-0.551704160015582,0.251886765192191,1.31004826638629,-0.483060731172999,0.0910678005185615,1.24084084541916,-0.443678607025005,-0.299353369900722,0.0914940433137065,-1.20991344162465,-0.754615123009023,-0.783740640683834,0.748760443657823,-0.95265715751663,-0.443541270790931,1.01965019118508,0.939088420847425,-1.43648179923116
2021-07-12,2,1,2,2,4,1,1,1,3,1,345027,2791,8656,80,-16,18,-37,-55,-19,7,39.3,33.1,338980,9598949,3309244,0,12908193,297542,41438,409359,13993,1525235,293722,10951,2533,2562,-0.640191468126671,-0.622190717590103,0.785686532486899,1.15125453712735,0.935099213555071,0.44645433912758,0.0567382493929239,-0.443678607025005,-0.696558935856131,-0.467434725354209,0.374155130424453,-0.482282857124562,0.257419746990053,0.544127412595238,0.227326485389457,0.0688079039569145,-0.0187870112043379,-0.0565694609107263,-0.0680106289435668
2021-07-13,2,1,2,2,4,1,1,1,3,1,353712,2847,8685,56,-19,15,-37,-57,-21,8,39.13,32.49,322488,9888124,3342557,0,13230681,289175,33313,397469,10181,1473921,266044,9615,1809,1745,-0.63585806319629,-0.904136947888191,0.385336707015868,0.674873349350514,0.935099213555071,0.0910678005185615,-0.140612183278116,-0.16419601992264,-0.713697247077557,-0.560589520132195,0.31096096573728,-0.558003193183396,0.139730327105062,0.101665067495649,-0.0217361796631984,-0.234470118844646,-0.240630780614175,-0.297378368369699,-0.259463694195058
2021-07-14,2,1,2,2,4,1,1,1,3,1,363029,2934,9317,87,-19,14,-39,-57,-21,9,38.33,32.4,303036,10163340,3370377,0,13533717,275216,27820,391926,10015,1467706,267376,9317,2333,1906,-0.541419721265209,-0.539956400419828,0.385336707015868,0.51607962009157,0.580559227373053,0.0910678005185615,-0.140612183278116,0.115286567179725,-0.794348123413681,-0.574333670181407,0.205531618914255,-0.609194800072156,0.0848646875405121,0.082397294860148,-0.00975007265220999,-0.302117462253976,-0.0800698204335746,-0.249923981465299,-0.282651923538668
