"data_d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-0.939380226675452,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0.919136474310577,0.357285890832625,0.757829220464062,1.15722741634562,0.0567382493929239,-1.2821263683321,0.581702061735568,0.479935722697073,-1.21847688469832,-0.357385112088456,-0.362351164233346,1.60795144062588,1.12256283048749,1.34812604865379,1.41333754214667,1.2319106881292,1.61298608363171,1.3096151266382
-0.892389188292438,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.71983612525264,1.94522318342207,1.28963919973709,1.69030722425915,0.352763898399484,-1.2821263683321,0.577120678385831,0.559578463078995,-1.10685435080193,0.0432600008547462,-0.44206021461011,1.47171295703251,1.06581170346624,1.28592399728611,1.05462953678857,1.41829704132138,1.64096825268259,1.17474071818969
-0.845398149909423,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.45293624160529,2.4216043711989,1.11236920664608,1.33492068565013,0.451439114735004,-1.00264378122973,1.33915744222542,1.39028248934107,-1.02407137385602,0.207925852236334,-0.220052848998597,1.45527255349717,1.38997414101162,1.63401035370818,1.35998820034732,1.4478764913996,1.57614503898815,1.51935527815839
-1.0803533418245,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.45293624160529,2.26281064193996,0.0487492481000271,1.33492068565013,2.03024257610332,-1.56160895543446,1.53157554291438,1.53041338697508,-1.00270320471655,-1.2610986757689,-0.704690958053063,-0.0142763578072604,0.437009216070785,1.04875952556897,0.881907358366347,0.396847143962053,0.489156054672761,1.17915141313035
-1.04511006303724,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.58638618342896,2.26281064193996,1.28963919973709,0.979534147041108,1.4381912780902,-1.2821263683321,1.70566811020438,1.37011977025704,-1.04962352016965,-1.24242818752859,-0.650880592464915,-0.558897344763755,0.380258089049535,1.34414266605389,1.64972523343443,-0.540278188410154,-0.246655223326434,1.26179390780792
-0.974623505462713,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.85328606707632,2.26281064193996,1.82144917901011,1.69030722425915,0.451439114735004,-1.2821263683321,1.37275425345683,1.10195560643943,-1.01226658111463,-0.23132910532033,-0.278849107484158,1.33928087228723,1.19179920545341,0.883602354696173,0.868643709852695,1.1932648828933,1.48182523393483,1.23057083046485
-0.892389188292438,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.31948629978161,1.46884199564524,1.11236920664608,1.15722741634562,0.254088682063964,-0.72316119412737,0.578647806169077,0.362991952009694,-1.1237396872548,-0.186820534446479,-0.436179656818956,1.12116431985529,0.6864871704562,0.495375758228958,0.445975443884314,0.832181431944747,1.22062202944828,1.12239273349926
-0.927632467079699,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.58638618342896,1.62763572490418,1.28963919973709,1.33492068565013,0.254088682063964,-0.72316119412737,0.277803632869678,0.114990507276114,-0.95951858316895,0.00702173120384918,-0.47106226824889,1.12115532127645,0.630871065975375,0.791371726806172,0.673225955084887,0.766567883877695,1.23846845703891,0.989259388843118
-0.680929515568872,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.18603635795793,1.46884199564524,0.935099213555071,1.15722741634562,0.352763898399484,-0.72316119412737,-0.00776926259726202,0.0494616702530135,-0.878977022566335,0.437470139695705,-0.398268231946668,0.977268045671569,0.547333407000095,0.627133798071817,0.381425687784541,0.760430371847085,1.21094160449895,0.952000623686516
-0.716172794356133,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0.518786648839545,1.46884199564524,0.0487492481000271,0.801840877736599,0.352763898399484,-0.16419601992264,0.322090338583804,0.322666513841632,-0.547546259270231,0.622105558596462,-0.220416306611679,0.953835746379816,0.863323682254416,1.56813133378675,0.944393880252886,1.22025874279692,1.05331300805921,0.991232594474465
